Country,Lyssavirus Free,Rabies Virus Free,Canine (Dog) Rabies Free,Robust National Rabies Surveillance,Robust National Rabies Control Program Implemented,Vaccine Availability,RIG Availability
Réunion (France),No,Yes,Yes,Yes,Yes,Limited Availability,Limited Availability
Romania,No,No,Yes,No,Yes,Available,Limited Availability
Russia,No,No,No,No,No (Unknown),Limited Availability,Limited Availability
Rwanda,No,No,No,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Saint Helena (U.K.),No,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Saint Kitts and Nevis,No,No,Yes,No (Unknown),Yes,Not Readily Available,Not Readily Available
Saint Lucia,No,No,Yes,No (Unknown),Yes,Limited Availability,Not Readily Available
Saint Pierre and Miquelon (France),No,No,Yes,Yes,Yes,Available,Available
Saint Vincent and the Grenadines,No,No,Yes,No (Unknown),Yes,Limited Availability,Not Readily Available
Samoa,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
San Marino,No,Yes,Yes,No (Unknown),No (Unknown),Available,Limited Availability
São Tomé and Príncipe,No,No,No,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Saudi Arabia,No,No,No,No,No (Unknown),Available,Available
Senegal,No,No,No,No,No,Limited Availability,Limited Availability
Serbia,No,No,Yes,Yes,No (Unknown),Available,Limited Availability
Seychelles,No,No,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Sierra Leone,No,No,No,No,No,Limited Availability,Not Readily Available
Singapore,No,Yes,Yes,Yes,Yes,Available,Limited Availability
Slovakia,No,No,Yes,Yes,No (Unknown),Available,Available
Slovenia,No,Yes,Yes,Yes,No (Unknown),Limited Availability,Limited Availability
Solomon Islands,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Somalia,No,No,No,No,No,Not Readily Available,Not Readily Available
South Africa,No,No,No,Yes,No,Available,Limited Availability
South Georgia and the South Sandwich Islands (U.K.),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
South Korea,No,No,Yes,Yes,Yes,Available,Available
South Sudan,,,,,,,
Spain (mainland),No,Yes,Yes,Yes,Yes,Available,Available
Sri Lanka,No,No,No,No,No,Not Readily Available,Not Readily Available
Sudan,No,No,No,No,No,Limited Availability,Not Readily Available
Suriname,No,No,No,No,No (Unknown),Limited Availability,Not Readily Available
Sweden,No,Yes,Yes,Yes,Yes,Available,Limited Availability
Switzerland,No,Yes,Yes,Yes,Yes,Not Readily Available,Not Readily Available
Syria,No,No,No,No,No,Not Readily Available,Not Readily Available
Taiwan,No,No,Yes,Yes,Yes,Available,Limited Availability
Tajikistan,No,No,No,No,No,Limited Availability,Not Readily Available
Tanzania (Including Zanzibar),No,No,No,No,No,Limited Availability,Limited Availability
Thailand,No,No,No,Yes,No,Available,Available
Timor-Leste (East Timor),No,No,No,No,No,Available,Available
Togo,No,No,No,No,No,Limited Availability,Limited Availability
Tokelau (New Zealand),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Tonga,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Trinidad and Tobago,No,No,Yes,No,No (Unknown),Available,Limited Availability
Tunisia,No,No,No,Yes,No,Available,Available
Turkey,No,No,No,No,No,Limited Availability,Limited Availability
Turkmenistan,No,No,No,No (Unknown),No (Unknown),Limited Availability,Not Readily Available
Turks and Caicos Islands (U.K.),No,No,Yes,No (Unknown),Yes,Available,Limited Availability
Tuvalu,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Uganda,No,No,No,No,No,Limited Availability,Limited Availability
